time; buffer(s); video seconds
2023-01-24 18:39:04.959; 0.0; 0.0
2023-01-24 18:39:05.472; 3.734095; 0.268905
2023-01-24 18:39:05.982; 7.215149; 0.778851
2023-01-24 18:39:06.494; 6.712182; 1.290818
2023-01-24 18:39:07.004; 10.195714; 1.801286
2023-01-24 18:39:07.517; 13.676577000000002; 2.312423
2023-01-24 18:39:08.031; 13.176819; 2.826181
2023-01-24 18:39:08.542; 16.664854; 3.338146
2023-01-24 18:39:09.053; 20.133703; 3.850297
2023-01-24 18:39:09.561; 23.645453; 4.357547
2023-01-24 18:39:10.081; 23.125144; 4.877856
2023-01-24 18:39:10.601; 22.605681; 5.397319
2023-01-24 18:39:11.111; 22.094672; 5.908328
2023-01-24 18:39:11.623; 21.584114; 6.418886
2023-01-24 18:39:12.133; 21.072636; 6.930364
2023-01-24 18:39:12.650; 20.557733; 7.445267
2023-01-24 18:39:13.162; 20.044417; 7.958583
2023-01-24 18:39:13.684; 19.522447; 8.480553
2023-01-24 18:39:14.196; 19.010590999999998; 8.992409
2023-01-24 18:39:14.707; 18.499468; 9.503532
2023-01-24 18:39:15.222; 17.985281999999998; 10.017718
2023-01-24 18:39:15.731; 17.476641; 10.526359
2023-01-24 18:39:16.242; 16.964941; 11.038059
2023-01-24 18:39:16.755; 16.452195; 11.550805
2023-01-24 18:39:17.266; 15.94139; 12.06161
2023-01-24 18:39:17.778; 15.427463; 12.575537
2023-01-24 18:39:18.287; 14.918516; 13.084484
2023-01-24 18:39:18.802; 14.404544; 13.598456
2023-01-24 18:39:19.311; 13.895747; 14.107253
2023-01-24 18:39:19.821; 13.384345; 14.618655
2023-01-24 18:39:20.332; 12.873402; 15.129598
2023-01-24 18:39:20.844; 12.361527; 15.641473
2023-01-24 18:39:21.356; 11.85116; 16.15184
2023-01-24 18:39:21.867; 11.339115; 16.663885
2023-01-24 18:39:22.379; 10.827798999999999; 17.175201
2023-01-24 18:39:22.890; 10.315504; 17.687496
2023-01-24 18:39:23.403; 9.803155; 18.199845
2023-01-24 18:39:23.913; 9.292300000000001; 18.7107
2023-01-24 18:39:24.425; 8.780643999999999; 19.222356
2023-01-24 18:39:24.942; 8.264416; 19.738584
2023-01-24 18:39:25.451; 7.755106999999999; 20.247893
2023-01-24 18:39:25.959; 7.247152; 20.755848
2023-01-24 18:39:26.472; 6.734432999999999; 21.268567
2023-01-24 18:39:26.982; 6.223454; 21.779546
2023-01-24 18:39:27.493; 5.71274; 22.29026
2023-01-24 18:39:28.005; 5.200814000000001; 22.802186
2023-01-24 18:39:28.516; 4.6893850000000015; 23.313615
2023-01-24 18:39:29.027; 4.1783660000000005; 23.824634
2023-01-24 18:39:29.540; 3.6668190000000003; 24.336181
2023-01-24 18:39:30.051; 3.1548920000000003; 24.848108
2023-01-24 18:39:30.563; 6.624072000000002; 25.359928
2023-01-24 18:39:31.074; 6.131978; 25.871022
2023-01-24 18:39:31.585; 5.620660999999998; 26.382339
2023-01-24 18:39:32.098; 9.086122000000003; 26.894878
2023-01-24 18:39:32.609; 8.597691999999999; 27.405308
2023-01-24 18:39:33.120; 12.066623000000003; 27.917377
2023-01-24 18:39:33.632; 11.57422; 28.42878
2023-01-24 18:39:34.143; 15.054168; 28.939832
2023-01-24 18:39:34.655; 14.551387000000002; 29.451613
2023-01-24 18:39:35.166; 14.040426; 29.962574
2023-01-24 18:39:35.678; 13.528006000000001; 30.474994
2023-01-24 18:39:36.188; 13.017406000000001; 30.985594
2023-01-24 18:39:36.700; 12.506151; 31.496849
2023-01-24 18:39:37.211; 11.995476000000004; 32.007524
2023-01-24 18:39:37.723; 11.483117; 32.519883
2023-01-24 18:39:38.234; 14.972194000000002; 33.030806
2023-01-24 18:39:38.745; 14.460777; 33.542223
2023-01-24 18:39:39.257; 13.948858000000001; 34.054142
2023-01-24 18:39:39.769; 13.437081999999997; 34.565918
2023-01-24 18:39:40.280; 12.926637; 35.076363
2023-01-24 18:39:40.791; 12.414983; 35.588017
2023-01-24 18:39:41.303; 11.903171999999998; 36.099828
2023-01-24 18:39:41.815; 11.391108000000003; 36.611892
2023-01-24 18:39:42.326; 10.879973999999997; 37.123026
2023-01-24 18:39:42.832; 10.374160000000003; 37.62884
2023-01-24 18:39:43.349; 9.856901999999998; 38.146098
2023-01-24 18:39:43.861; 13.345115999999997; 38.657884
2023-01-24 18:39:44.373; 12.832715999999998; 39.170284
2023-01-24 18:39:44.888; 12.318655999999997; 39.684344
2023-01-24 18:39:45.395; 11.811079; 40.191921
2023-01-24 18:39:45.907; 11.299228; 40.703772
2023-01-24 18:39:46.418; 10.787446000000003; 41.215554
2023-01-24 18:39:46.930; 14.276454000000001; 41.726546
2023-01-24 18:39:47.441; 13.764493000000002; 42.238507
2023-01-24 18:39:47.953; 13.253753000000003; 42.749247
2023-01-24 18:39:48.466; 12.740704000000001; 43.262296
2023-01-24 18:39:48.976; 12.23028; 43.77272
2023-01-24 18:39:49.488; 11.719380999999998; 44.283619
2023-01-24 18:39:49.999; 11.206938000000001; 44.796062
2023-01-24 18:39:50.511; 10.696128000000002; 45.306872
2023-01-24 18:39:51.021; 10.185372000000001; 45.817628
2023-01-24 18:39:51.533; 9.672666; 46.330334
2023-01-24 18:39:52.045; 9.160640999999998; 46.842359
2023-01-24 18:39:52.556; 8.650945999999998; 47.352054
2023-01-24 18:39:53.067; 8.138773999999998; 47.864226
2023-01-24 18:39:53.579; 11.624400999999999; 48.375599
2023-01-24 18:39:54.091; 15.105958000000001; 48.888042
2023-01-24 18:39:54.602; 14.594482; 49.399518
2023-01-24 18:39:55.114; 18.088420999999997; 49.911579
2023-01-24 18:39:55.625; 17.580055; 50.422945
2023-01-24 18:39:56.137; 17.069031000000003; 50.933969
2023-01-24 18:39:56.649; 20.53875899999999; 51.445241
2023-01-24 18:39:57.159; 24.035398000000008; 51.956602
2023-01-24 18:39:57.672; 23.534539000000002; 52.468461
2023-01-24 18:39:58.183; 27.023254; 52.979746
2023-01-24 18:39:58.695; 26.511192; 53.491808
2023-01-24 18:39:59.206; 26.000344; 54.002656
2023-01-24 18:39:59.717; 25.489316000000002; 54.513684
2023-01-24 18:40:00.229; 28.977026000000002; 55.025974
2023-01-24 18:40:00.737; 28.469493; 55.533507
2023-01-24 18:40:01.251; 31.940503000000007; 56.048497
2023-01-24 18:40:01.763; 31.443165999999998; 56.559834
2023-01-24 18:40:02.275; 34.931731; 57.071269
2023-01-24 18:40:02.791; 34.415659; 57.587341
2023-01-24 18:40:03.297; 37.902932; 58.094068
2023-01-24 18:40:03.810; 41.390696; 58.606304
2023-01-24 18:40:04.321; 40.885385; 59.117615
2023-01-24 18:40:04.832; 44.362821000000004; 59.629179
2023-01-24 18:40:05.345; 43.861811; 60.141189
2023-01-24 18:40:05.855; 47.340822; 60.651178
2023-01-24 18:40:06.367; 46.838539; 61.164461
2023-01-24 18:40:06.878; 50.310284; 61.675716
2023-01-24 18:40:07.389; 49.815951; 62.187049
2023-01-24 18:40:07.901; 49.305023; 62.697977
